ID	NRPS	Terpene	Others	RiPPs	Other PKSs	PKS-NRP_Hybrids	PKSI	Saccharides
AAB-S02R3_285	1	2	0	1	1	0	0	0
AAB-S02R3_63	5	2	0	2	0	0	0	0
AAB-S02R3_72	4	0	1	2	0	1	0	0
AAB-S02R4_109	8	1	1	1	0	4	3	0
AAB-S02R4_146	2	1	0	0	0	0	0	0
AAB-S02R4_180	2	0	0	0	0	0	0	0
AAB-S02R4_19	3	1	0	0	1	0	2	0
AAB-S02R4_195	4	1	1	0	1	0	0	0
AAB-S02R4_211	1	0	0	0	0	0	0	0
AAB-S02R4_216	2	0	0	0	0	0	0	0
AAB-S02R4_221	1	0	0	0	0	1	0	0
AAB-S02R4_223	1	3	0	0	2	0	0	0
AAB-S02R4_224	4	2	1	1	0	0	0	0
AAB-S02R4_231	3	1	0	0	1	0	0	0
AAB-S02R4_260	1	1	1	3	0	1	1	0
AAB-S02R4_44	1	1	0	0	0	1	0	0
AAB-S02R4_55	1	0	1	0	0	0	0	0
AAB-S02R4_61	2	1	1	0	0	0	0	0
AAB-S02R4_73	1	2	0	0	1	0	1	0
AAB-S02R4_76	1	0	2	0	0	0	0	0
AAB-S02R5_109	6	0	1	2	1	1	0	0
AAB-S02R5_117	1	0	0	1	0	0	0	0
AAB-S02R5_135	6	0	0	3	1	0	0	0
AAB-S02R5_137	1	1	1	0	2	0	0	0
AAB-S02R5_183	1	1	0	0	1	0	1	0
AAB-S02R5_205	4	0	0	0	3	2	3	0
AAB-S02R5_208	2	0	0	1	1	0	0	0
AAB-S02R5_229	1	0	0	1	0	0	0	0
AAB-S02R5_233	2	0	0	0	0	0	0	0
AAB-S02R5_27	2	0	1	0	0	0	0	0
AAB-S02R5_28	1	0	0	0	0	0	0	0
AAB-S02R5_53	1	0	1	1	0	2	2	0
AAB-S02R5_54	1	1	0	0	1	0	0	0
AAB-S02R5_61	2	1	1	0	1	0	0	0
AAB-S02R5_78	1	2	3	0	1	1	0	0
AAB-S02R5_91	1	0	1	1	1	1	1	0
AAB-S03R1_107	1	1	2	1	0	0	0	0
AAB-S03R1_114	1	0	0	1	0	0	0	0
AAB-S03R1_116	2	0	1	0	0	0	0	0
AAB-S03R1_132	1	1	0	0	0	0	0	0
AAB-S03R1_139	1	0	1	0	1	0	0	0
AAB-S03R1_170	6	4	5	2	4	3	5	0
AAB-S03R1_193	1	0	0	0	0	0	0	0
AAB-S03R1_194	6	1	2	0	2	1	0	0
AAB-S03R1_58	1	0	0	0	0	0	0	0
AAB-S03R2_116	1	0	0	0	1	0	0	0
AAB-S03R2_118	4	0	0	0	2	0	0	0
AAB-S03R2_136	3	2	1	0	0	0	0	0
AAB-S03R2_151	1	0	0	0	0	1	0	0
AAB-S03R2_158	1	0	0	0	0	1	0	0
AAB-S03R2_173	2	0	0	0	0	1	0	0
AAB-S03R2_177	1	0	1	0	0	0	1	0
AAB-S03R2_207	1	0	1	0	0	0	0	0
AAB-S03R2_210	1	1	0	0	0	0	1	0
AAB-S03R2_228	1	1	1	1	0	0	0	0
AAB-S03R2_26	1	0	0	0	0	0	0	0
AAB-S03R2_275	2	0	1	0	1	0	0	0
AAB-S03R2_38	1	1	2	1	0	0	0	0
AAB-S03R2_55	1	0	0	0	0	0	0	0
AAB-S03R2_72	4	0	0	0	1	0	1	0
AAB-S03R2_88	1	0	0	0	0	0	0	0
AAB-S03R3_11	1	0	2	0	0	0	0	0
AAB-S03R3_112	4	0	0	0	0	0	0	0
AAB-S03R3_127	1	0	1	2	0	0	0	0
AAB-S03R3_131	1	0	0	2	0	1	0	0
AAB-S03R3_132	1	1	1	3	0	0	0	0
AAB-S03R3_133	1	1	2	1	0	0	0	0
AAB-S03R3_136	2	1	0	3	0	0	0	0
AAB-S03R3_140	1	1	0	1	0	0	0	0
AAB-S03R3_143	3	1	0	0	1	0	2	0
AAB-S03R3_148	1	0	0	0	0	0	0	0
AAB-S03R3_152	3	0	0	0	0	0	0	0
AAB-S03R3_162	1	0	0	0	1	0	0	0
AAB-S03R3_177	1	1	0	1	0	1	0	0
AAB-S03R3_2	3	0	0	0	0	0	0	0
AAB-S03R3_201	1	0	0	0	0	0	0	0
AAB-S03R3_221	2	1	0	0	0	1	0	0
AAB-S03R3_224	1	1	1	0	0	0	0	0
AAB-S03R3_228	1	0	1	0	1	0	1	0
AAB-S03R3_246	1	0	0	1	0	0	0	0
AAB-S03R3_256	3	1	0	0	1	0	0	0
AAB-S03R3_277	2	0	0	0	1	0	0	0
AAB-S03R3_279	1	1	0	1	0	0	0	0
AAB-S03R3_282	1	1	0	0	0	0	0	0
AAB-S03R3_29	4	1	0	0	1	0	0	0
AAB-S03R3_292	2	1	0	0	1	1	0	0
AAB-S03R3_331	3	1	0	0	1	0	0	0
AAB-S03R3_37	3	0	0	0	0	0	0	0
AAB-S03R3_44	2	3	1	1	0	0	0	0
AAB-S03R3_54	2	1	0	0	0	1	4	0
AAB-S03R3_57	3	1	2	0	2	0	0	0
AAB-S03R3_60	1	1	1	2	1	0	0	0
AAB-S03R3_70	2	0	0	0	0	1	0	0
AAB-S03R3_71	2	0	1	2	0	0	0	0
AAB-S03R3_80	1	1	0	0	1	0	1	0
AAB-S03R3_91	1	1	1	1	0	0	0	0
AAB-S03R3_99	1	0	2	0	0	0	0	0
AAB-S03R4_135	1	0	0	0	1	0	0	0
AAB-S03R4_136	4	1	0	0	1	0	0	0
AAB-S03R4_141	3	1	0	0	1	1	0	0
AAB-S03R4_145	1	0	0	0	0	0	0	0
AAB-S03R4_201	1	2	0	1	0	0	0	0
AAB-S03R4_225	1	1	0	0	0	1	0	0
AAB-S03R4_230	1	1	1	1	1	1	0	0
AAB-S03R4_41	2	2	1	1	0	0	0	0
AAB-S03R4_61	1	0	0	0	1	0	0	0
AAB-S03R4_7	1	3	0	3	0	0	1	0
AAB-S03R4_77	2	0	0	1	2	1	0	0
AAB-S03R5_22	1	1	2	1	0	0	0	0
AAB-S03R5_33	1	1	0	0	1	0	0	0
AAB-S03R5_98	1	1	0	0	1	0	1	0
AAB-S04R1_115	1	0	2	0	0	0	0	0
AAB-S04R1_126	3	1	0	0	1	0	3	0
AAB-S04R1_131	1	1	0	0	1	0	0	0
AAB-S04R1_14	2	0	0	0	1	0	0	0
AAB-S04R1_145	1	1	4	2	0	0	0	0
AAB-S04R1_151	3	0	0	0	0	2	2	0
AAB-S04R1_156	2	0	0	0	0	0	0	0
AAB-S04R1_180	3	0	2	1	1	0	0	0
AAB-S04R1_193	2	0	0	0	0	0	0	0
AAB-S04R1_227	1	2	0	1	0	0	1	0
AAB-S04R1_252	4	1	0	1	1	0	0	0
AAB-S04R1_30	1	2	0	2	1	0	0	0
AAB-S04R1_58	2	0	3	2	1	0	0	0
AAB-S04R1_69	1	0	0	0	0	0	0	0
AAB-S04R1_8	1	0	0	0	0	0	1	0
AAB-S04R1_86	1	2	1	0	1	1	0	0
AAB-S04R2_16	1	0	0	0	0	1	0	0
AAB-S04R2_46	1	0	0	0	1	0	0	0
AAB-S04R2_55	1	1	0	0	1	0	0	0
AAB-S04R3_10	1	0	0	0	0	0	0	0
AAB-S04R3_109	2	1	2	2	1	0	0	0
AAB-S04R3_112	1	0	1	1	1	0	1	0
AAB-S04R3_123	1	1	0	0	1	0	0	0
AAB-S04R3_144	1	0	1	3	0	0	1	0
AAB-S04R3_15	4	1	4	0	0	0	0	0
AAB-S04R3_180	2	2	0	5	1	1	2	0
AAB-S04R3_189	1	0	0	0	1	2	0	0
AAB-S04R3_199	1	1	1	0	1	0	0	0
AAB-S04R3_211	2	1	1	1	1	1	0	0
AAB-S04R3_219	1	1	0	0	0	1	0	0
AAB-S04R3_22	2	2	0	1	1	0	0	0
AAB-S04R3_226	2	0	0	1	0	0	0	0
AAB-S04R3_235	2	1	0	0	1	0	0	0
AAB-S04R3_242	6	0	0	0	1	0	0	0
AAB-S04R3_284	1	1	2	1	1	0	0	0
AAB-S04R3_286	6	1	0	0	0	0	0	0
AAB-S04R3_305	2	1	0	1	1	0	0	0
AAB-S04R3_317	3	1	1	1	2	3	2	0
AAB-S04R3_345	1	0	0	0	1	0	0	0
AAB-S04R3_50	3	3	0	2	0	0	0	0
AAB-S04R3_57	1	0	0	0	0	0	0	0
AAB-S04R3_67	1	1	1	2	0	0	1	0
AAB-S04R3_98	9	1	1	3	0	1	0	0
AAB-S04R4_10	3	1	0	0	1	0	0	0
AAB-S04R4_101	2	2	0	0	0	1	0	0
AAB-S04R4_113	1	1	2	0	3	0	0	0
AAB-S04R4_116	1	1	0	1	0	0	0	0
AAB-S04R4_118	1	1	1	2	1	1	0	0
AAB-S04R4_120	1	2	0	0	1	0	0	0
AAB-S04R4_129	2	1	3	3	0	0	0	0
AAB-S04R4_144	1	1	0	0	1	0	0	0
AAB-S04R4_151	1	0	0	0	0	0	0	0
AAB-S04R4_154	1	1	4	1	1	0	0	0
AAB-S04R4_157	1	1	2	2	0	1	0	0
AAB-S04R4_165	4	3	0	0	0	1	1	0
AAB-S04R4_178	1	2	1	0	0	0	0	0
AAB-S04R4_18	1	0	0	0	0	0	0	0
AAB-S04R4_193	1	3	0	0	0	0	0	0
AAB-S04R4_195	1	1	0	0	0	0	0	0
AAB-S04R4_204	1	1	1	0	1	1	0	0
AAB-S04R4_223	1	2	2	3	1	0	0	0
AAB-S04R4_23	3	2	0	0	1	1	1	0
AAB-S04R4_232	1	1	1	2	1	1	0	0
AAB-S04R4_255	4	0	0	0	2	1	0	0
AAB-S04R4_257	2	2	0	1	0	0	0	0
AAB-S04R4_284	1	0	0	0	0	0	0	0
AAB-S04R4_287	1	1	0	0	1	0	0	0
AAB-S04R4_295	1	2	0	3	1	0	0	0
AAB-S04R4_297	5	1	1	2	0	0	1	0
AAB-S04R4_321	1	5	3	3	4	4	1	0
AAB-S04R4_327	3	2	1	4	1	2	1	0
AAB-S04R4_33	1	2	2	0	0	0	0	0
AAB-S04R4_330	4	2	2	3	2	0	1	1
AAB-S04R4_333	3	0	1	0	1	0	0	0
AAB-S04R4_40	1	1	1	1	0	0	0	0
AAB-S04R4_42	6	2	1	3	2	0	0	0
AAB-S04R4_54	2	0	0	4	0	0	0	0
AAB-S04R4_56	1	1	1	2	1	0	0	0
AAB-S04R4_60	3	1	1	1	1	4	0	0
AAB-S04R4_61	1	0	0	0	0	1	0	0
AAB-S04R4_63	3	1	7	4	2	0	0	0
AAB-S04R4_70	4	1	0	1	1	0	0	0
AAB-S04R4_74	9	1	2	3	0	3	0	0
AAB-S04R4_84	1	0	1	0	1	0	0	0
AAB-S04R4_85	4	2	3	1	0	0	0	0
AAB-S04R4_89	1	0	0	0	1	0	0	0
AAB-S04R5_106	1	2	0	1	1	0	0	0
AAB-S04R5_72	4	0	0	1	0	0	0	0
AAB-S04R5_77	1	1	1	2	1	0	0	0
AAB-S04R5_89	2	1	0	1	0	0	0	1
AAB-S05R1_110	3	1	0	2	0	0	0	0
AAB-S05R1_112	1	2	0	1	1	1	0	0
AAB-S05R1_117	2	2	1	1	1	0	0	0
AAB-S05R1_129	1	3	3	0	1	0	0	0
AAB-S05R1_13	1	0	0	0	0	0	0	0
AAB-S05R1_149	1	2	0	0	0	0	0	0
AAB-S05R1_156	2	1	0	2	0	0	0	0
AAB-S05R1_159	6	1	0	0	1	5	0	0
AAB-S05R1_173	3	1	0	3	2	2	0	0
AAB-S05R1_175	2	2	2	2	0	1	1	0
AAB-S05R1_195	1	0	1	1	1	0	0	0
AAB-S05R1_206	1	2	1	0	1	0	0	0
AAB-S05R1_214	3	0	1	1	1	0	0	0
AAB-S05R1_22	2	4	1	2	1	1	0	0
AAB-S05R1_225	4	1	1	3	1	1	0	0
AAB-S05R1_227	5	0	1	1	1	0	0	0
AAB-S05R1_25	2	2	4	3	1	0	1	0
AAB-S05R1_258	1	0	0	1	0	1	0	0
AAB-S05R1_261	2	3	2	1	0	0	0	0
AAB-S05R1_285	1	1	1	1	0	0	0	0
AAB-S05R1_29	4	1	0	0	2	0	0	0
AAB-S05R1_300	2	2	1	3	2	1	0	0
AAB-S05R1_307	1	1	0	0	0	0	0	0
AAB-S05R1_315	1	4	0	0	0	0	0	0
AAB-S05R1_316	1	1	0	0	0	0	0	0
AAB-S05R1_327	9	1	0	1	0	1	0	0
AAB-S05R1_335	4	1	1	2	2	0	0	0
AAB-S05R1_340	2	2	0	0	1	0	0	0
AAB-S05R1_351	3	1	1	0	1	0	0	0
AAB-S05R1_36	2	1	3	4	1	1	0	0
AAB-S05R1_386	3	2	0	0	1	1	0	0
AAB-S05R1_397	1	2	1	1	0	0	0	0
AAB-S05R1_40	1	2	3	1	0	0	0	0
AAB-S05R1_408	1	1	0	0	1	0	0	0
AAB-S05R1_409	2	2	1	1	0	1	0	0
AAB-S05R1_54	1	1	1	1	0	1	0	0
AAB-S05R1_58	1	2	0	1	2	0	0	0
AAB-S05R1_73	1	2	3	2	1	1	0	0
AAB-S05R1_74	3	1	0	1	1	0	0	0
AAB-S05R1_77	1	2	0	0	1	0	0	0
AAB-S05R1_88	1	0	0	0	1	0	0	0
AAB-S05R1_94	3	1	0	0	1	0	0	0
AAB-S05R3_4	2	0	2	1	1	0	0	0
AAB-S05R4_39	1	1	1	0	0	0	0	0
AAB-S05R4_69	1	2	0	2	0	0	0	0
AAB-S05R4_96	2	0	0	0	1	0	0	0
AAB-S05R5_9	15	0	0	7	1	4	0	0
AAB-S06R2_105	1	1	3	3	1	0	0	0
AAB-S06R2_110	1	0	2	0	0	0	0	0
AAB-S06R2_122	1	2	1	0	0	0	0	0
AAB-S06R2_15	1	1	1	0	0	0	0	0
AAB-S06R2_16	3	2	0	0	0	3	1	0
AAB-S06R2_168	4	2	0	0	2	2	0	0
AAB-S06R2_177	3	1	0	0	0	0	0	0
AAB-S06R2_187	1	2	1	0	1	0	0	0
AAB-S06R2_198	1	1	1	1	1	0	0	0
AAB-S06R2_213	2	0	1	0	0	0	0	0
AAB-S06R2_27	2	1	0	0	1	0	0	0
AAB-S06R2_35	3	1	2	0	3	0	1	0
AAB-S06R2_40	2	0	0	1	1	2	0	0
AAB-S06R2_60	1	0	0	1	1	0	0	0
AAB-S06R2_61	1	0	0	0	0	1	1	0
AAB-S06R2_84	3	1	0	0	1	0	0	0
AAB-S06R2_86	1	1	1	1	0	0	1	0
AAB-S06R2_88	1	1	3	0	1	2	0	0
AAB-S06R4_1	3	1	0	0	1	0	0	0
AAB-S06R4_106	1	0	0	0	1	0	0	0
AAB-S06R4_124	2	1	1	0	1	0	0	0
AAB-S06R4_140	1	0	2	1	0	0	0	0
AAB-S06R4_141	2	4	0	3	1	2	0	0
AAB-S06R4_156	2	1	1	2	1	0	0	0
AAB-S06R4_16	2	2	3	1	1	0	0	0
AAB-S06R4_162	1	1	2	2	1	3	0	0
AAB-S06R4_197	1	0	2	0	0	0	0	0
AAB-S06R4_214	2	1	0	0	1	0	1	0
AAB-S06R4_216	4	1	0	1	2	0	0	0
AAB-S06R4_22	1	0	1	1	0	0	0	0
AAB-S06R4_230	3	1	0	1	2	0	0	0
AAB-S06R4_237	2	1	0	1	1	1	1	0
AAB-S06R4_240	2	1	1	1	0	0	0	0
AAB-S06R4_241	1	0	0	0	0	0	1	0
AAB-S06R4_245	3	1	3	4	1	0	0	0
AAB-S06R4_253	3	1	0	0	1	0	0	0
AAB-S06R4_254	1	2	1	0	1	0	0	0
AAB-S06R4_259	1	1	1	0	1	0	1	0
AAB-S06R4_264	1	1	0	1	1	1	0	0
AAB-S06R4_274	6	1	0	2	1	1	0	0
AAB-S06R4_281	6	2	0	2	2	1	0	0
AAB-S06R4_294	1	2	0	0	1	0	0	0
AAB-S06R4_300	1	1	2	2	0	1	0	0
AAB-S06R4_313	1	2	1	1	1	0	0	0
AAB-S06R4_317	1	1	1	1	1	1	0	0
AAB-S06R4_322	1	1	1	1	1	0	0	0
AAB-S06R4_324	1	0	0	0	0	0	0	0
AAB-S06R4_326	2	0	3	2	1	0	0	0
AAB-S06R4_33	1	1	0	0	3	0	0	0
AAB-S06R4_35	2	0	0	1	0	0	0	0
AAB-S06R4_43	5	2	0	1	1	0	1	0
AAB-S06R4_46	1	3	1	0	0	1	0	0
AAB-S06R4_5	2	2	1	0	1	0	0	0
AAB-S06R4_55	4	0	0	1	0	1	0	0
AAB-S06R4_66	1	1	2	0	1	0	0	0
AAB-S06R4_80	2	2	1	0	0	0	0	0
AAB-S06R5_16	2	2	2	3	0	0	0	0
AAB-S06R5_17	1	1	4	3	1	0	0	0
AAB-S06R5_20	1	0	0	0	0	0	0	0
AAB-S06R5_86	2	0	3	1	0	0	0	0
AAB-S07R4_113	1	1	0	2	1	0	0	0
AAB-S07R4_166	4	1	2	0	0	1	4	0
AAB-S07R4_2	1	0	0	0	0	0	0	0
AAB-S07R4_27	1	0	0	0	0	0	0	0
AAB-S07R4_46	1	1	0	0	0	0	0	0
AAB-S07R5_17	2	1	2	2	0	1	0	0
AAB-S08R1_111	2	0	1	2	1	2	1	0
AAB-S08R1_117	2	0	1	1	0	0	0	0
AAB-S08R1_131	2	0	1	1	3	0	0	0
AAB-S08R1_138	2	2	1	1	1	0	0	0
AAB-S08R1_145	2	0	0	0	1	0	0	0
AAB-S08R1_148	4	1	0	0	1	0	5	0
AAB-S08R1_152	1	0	0	0	0	0	0	0
AAB-S08R1_175	1	1	0	1	1	0	1	0
AAB-S08R1_181	2	0	1	0	0	2	1	0
AAB-S08R1_182	2	2	0	2	1	0	0	0
AAB-S08R1_184	1	0	1	1	2	0	0	0
AAB-S08R1_19	22	1	4	6	1	5	0	0
AAB-S08R1_22	2	0	0	0	0	0	0	0
AAB-S08R1_233	1	1	1	0	0	1	0	0
AAB-S08R1_234	1	1	1	1	0	0	0	0
AAB-S08R1_238	1	0	1	0	1	0	0	0
AAB-S08R1_261	1	4	3	2	1	0	0	1
AAB-S08R1_266	2	1	1	4	1	1	0	0
AAB-S08R1_271	1	2	3	3	0	0	1	0
AAB-S08R1_280	2	3	0	0	0	1	0	0
AAB-S08R1_285	1	1	0	1	1	0	0	0
AAB-S08R1_286	2	1	0	0	0	0	0	0
AAB-S08R1_296	1	1	0	0	0	0	1	0
AAB-S08R1_305	3	1	1	4	1	0	0	0
AAB-S08R1_332	2	1	4	2	1	0	0	0
AAB-S08R1_335	1	3	0	2	1	0	0	0
AAB-S08R1_336	9	1	0	2	2	0	0	0
AAB-S08R1_340	2	1	0	0	1	1	0	0
AAB-S08R1_345	5	0	2	1	0	0	4	0
AAB-S08R1_352	1	0	4	5	0	0	0	0
AAB-S08R1_358	1	2	0	0	1	0	0	0
AAB-S08R1_366	2	2	1	2	1	0	0	0
AAB-S08R1_377	1	1	0	0	0	0	0	0
AAB-S08R1_388	3	0	0	0	0	0	0	0
AAB-S08R1_397	2	1	0	1	1	0	0	0
AAB-S08R1_399	3	4	2	1	1	0	0	0
AAB-S08R1_404	1	3	1	3	1	0	0	0
AAB-S08R1_405	5	1	1	0	0	2	0	0
AAB-S08R1_406	2	2	0	0	0	0	0	0
AAB-S08R1_48	1	1	2	1	0	0	0	0
AAB-S08R1_53	1	1	0	0	1	0	0	0
AAB-S08R1_54	2	2	3	3	0	0	0	0
AAB-S08R1_55	1	1	1	1	0	0	0	0
AAB-S08R1_57	3	0	1	0	1	1	0	0
AAB-S08R1_68	2	0	0	0	0	0	0	0
AAB-S08R1_77	12	4	4	4	1	1	4	0
AAB-S08R1_80	7	3	2	5	1	4	1	0
AAB-S08R1_95	1	1	1	2	1	0	0	0
AAB-S08R3_35	1	0	0	0	0	0	0	0
AAB-S08R4_106	2	3	2	0	0	0	0	0
AAB-S08R4_127	3	3	1	2	1	0	0	0
AAB-S08R4_139	1	0	0	0	0	0	0	0
AAB-S08R4_160	1	1	0	0	0	0	0	0
AAB-S08R4_162	1	0	2	3	1	0	0	0
AAB-S08R4_167	1	0	0	0	0	0	0	0
AAB-S08R4_217	2	0	0	0	0	0	0	0
AAB-S08R4_233	1	1	2	1	0	0	0	0
AAB-S08R4_238	7	1	7	3	2	2	3	0
AAB-S08R4_240	1	3	1	1	1	0	0	0
AAB-S08R4_245	1	0	1	0	1	0	0	0
AAB-S08R4_256	1	0	0	1	0	0	0	0
AAB-S08R4_26	3	2	0	3	0	0	1	0
AAB-S08R4_266	2	2	1	1	1	0	0	0
AAB-S08R4_40	1	4	2	2	0	0	0	0
AAB-S08R4_42	1	0	1	2	1	0	0	0
AAB-S08R4_44	6	0	4	1	3	1	8	1
AAB-S08R4_56	2	1	0	1	0	0	0	0
AAB-S08R4_65	3	1	1	1	1	2	0	0
AAB-S08R4_78	16	0	4	4	1	7	7	0
AAB-S08R4_80	1	0	0	1	1	0	0	0
AAB-S08R5_132	1	0	0	0	0	0	0	0
AAB-S08R5_146	1	0	0	0	1	0	0	0
AAB-S08R5_158	4	0	1	0	0	1	0	0
AAB-S08R5_181	1	4	1	3	1	0	0	0
AAB-S08R5_194	1	1	2	0	1	0	0	0
AAB-S08R5_22	2	3	1	3	2	0	0	0
AAB-S08R5_236	3	0	0	0	1	0	0	0
AAB-S08R5_240	2	2	1	3	2	0	0	0
AAB-S08R5_25	1	0	0	0	0	0	0	0
AAB-S08R5_261	3	3	2	5	1	0	0	0
AAB-S08R5_297	1	0	0	0	0	0	0	0
AAB-S08R5_304	3	0	0	0	0	0	0	0
AAB-S08R5_308	3	3	2	2	2	1	2	0
AAB-S08R5_312	1	0	0	1	0	0	0	0
AAB-S08R5_340	2	1	1	0	0	0	0	0
AAB-S08R5_38	3	3	0	7	2	0	1	0
AAB-S08R5_45	1	1	0	0	0	0	0	0
AAB-S08R5_56	2	0	0	0	0	0	0	0
AAB-S08R5_58	1	2	2	2	0	1	0	0
