virus_id	length	topology	n_genes	virus_score	n_hallmarks	marker_enrichment	taxonomy	completeness	checkv_quality	PhaTYP	class	vcontact_family	phagcn_family	anti_CRISPR_id	tRNA_num	Host_Phylum	CRISPR
AAB-S01R1_k55_7202653	30331	No terminal repeats	30	0.9869	9	27.6743	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	66.18	Medium-quality	temperate	c__Caudoviricetes	NA	NA	NA	NA	p__Firmicutes	No
AAB-S01R1_k55_2559081	42950	DTR	70	0.9818	2	13.6226	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	temperate	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Actinobacteriota	No
AAB-S01R1_k55_4286327	88617	ITR	168	0.9773	2	22.4315	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Crenarchaeota	No
AAB-S01R1_k55_1211967	31460	No terminal repeats	41	0.9772	4	15.9298	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	66.81	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Proteobacteria	No
AAB-S01R1_k55_9252429	68978	DTR	122	0.9635	4	27.2087	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	68.63	Medium-quality	virulent	c__Caudoviricetes	NA	Mesyanzhinovviridae	NA	NA	p__Myxococcota	No
AAB-S01R1_k55_4290359	25109	No terminal repeats	30	0.963	5	21.1633	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	51.73	Medium-quality	virulent	c__Caudoviricetes	NA	Straboviridae	NA	NA	p__Actinobacteriota	No
AAB-S01R2_NODE_33_length_55919_cov_19.925909	55919	No terminal repeats	78	0.993	5	31.9606	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	63.26	Medium-quality	virulent	c__Caudoviricetes	NA	Mesyanzhinovviridae	NA	NA	p__Actinobacteriota	No
AAB-S01R2_NODE_23_length_63190_cov_22.249244	63190	DTR	94	0.9919	8	26.4579	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	75.71	Medium-quality	virulent	c__Caudoviricetes	NA	Zobellviridae	NA	2	p__Actinobacteriota	No
AAB-S01R2_NODE_1_length_106852_cov_35.989017	106852	No terminal repeats	202	0.9879	8	62.5398	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	85.64	Medium-quality	virulent	c__Caudoviricetes	NA	Vilmaviridae	NA	1	p__Actinobacteriota	No
AAB-S01R2_NODE_4_length_95373_cov_16.163012	95373	No terminal repeats	150	0.9875	7	46.8549	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	85.17	Medium-quality	virulent	c__Caudoviricetes	NA	Zobellviridae	NA	3	p__Proteobacteria	Yes
AAB-S01R2_NODE_18_length_67899_cov_22.030850	67899	No terminal repeats	112	0.9858	3	27.2124	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	87.18	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Actinobacteriota	No
AAB-S01R3_k55_2182282	62159	No terminal repeats	102	0.9948	7	42.0995	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	66.52	Medium-quality	virulent	c__Caudoviricetes	NA	Mesyanzhinovviridae	NA	NA	p__Proteobacteria	No
AAB-S01R3_k55_10302605	34948	DTR	57	0.9944	7	25.3951	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	53.44	Medium-quality	temperate	c__Caudoviricetes	NA	Peduoviridae	NA	NA	p__Proteobacteria	No
AAB-S01R3_k55_2471605	45223	No terminal repeats	62	0.994	11	44.2787	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	62.35	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	1	p__Proteobacteria	No
AAB-S01R3_k55_10302640	44056	DTR	61	0.9938	4	21.7678	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	NA	Zobellviridae	NA	NA	p__Proteobacteria	No
AAB-S01R3_k55_8358782	63980	No terminal repeats	97	0.9933	8	53.2688	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	84.14	Medium-quality	virulent	c__Caudoviricetes	NA	Mesyanzhinovviridae	NA	NA	p__Actinobacteriota	No
AAB-S01R3_k55_3135902	36459	No terminal repeats	52	0.9928	6	26.906	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	51.5	Medium-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Proteobacteria	Yes
AAB-S01R3_k55_8628767	33609	No terminal repeats	51	0.9928	5	19.0086	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	61.7	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Firmicutes	No
AAB-S01R3_k55_5375908	39822	No terminal repeats	62	0.9926	6	21.6573	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	65.45	Medium-quality	virulent	c__Caudoviricetes	NA	Mesyanzhinovviridae	NA	NA	p__Proteobacteria	No
AAB-S01R3_k55_2367146	43610	DTR	65	0.9926	7	32.5079	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Actinobacteriota	No
AAB-S01R3_k55_6709828	72596	No terminal repeats	108	0.9917	7	41.8248	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	86.11	Medium-quality	virulent	c__Caudoviricetes	NA	Schitoviridae	NA	21	p__Actinobacteriota	No
AAB-S01R3_k55_7477701	43434	DTR	67	0.9913	5	31.597	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	67.77	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Proteobacteria	Yes
AAB-S01R3_k55_9345241	60210	DTR	90	0.9912	6	36.5675	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	temperate	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Actinobacteriota	No
AAB-S01R3_k55_6503543	102056	DTR	176	0.9907	7	54.6943	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	NA	Zierdtviridae	NA	NA	p__Actinobacteriota	No
AAB-S01R3_k55_9343794	47240	No terminal repeats	55	0.9907	5	29.4926	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	79.11	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Actinobacteriota	No
AAB-S01R3_k55_5661463	34669	No terminal repeats	52	0.99	3	15.8367	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	54.32	Medium-quality	temperate	c__Caudoviricetes	NA	NA	NA	NA	p__Actinobacteriota	No
AAB-S01R3_k55_7662206	44790	DTR	62	0.9884	2	17.8956	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	79.92	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Bacteroidota	No
AAB-S01R3_k55_286058	67152	DTR	111	0.9868	9	30.9506	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Firmicutes	Yes
AAB-S01R3_k55_6575487	31207	No terminal repeats	40	0.9861	3	17.1658	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	50.15	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Deinococcota	No
AAB-S01R3_k55_6386516	118830	DTR	158	0.9858	3	25.4638	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	66.96	Medium-quality	temperate	c__Caudoviricetes	NA	Mesyanzhinovviridae	NA	NA	p__Firmicutes	No
AAB-S01R3_k55_161072	58860	No terminal repeats	85	0.985	7	29.7896	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	73.21	Medium-quality	virulent	c__Caudoviricetes	NA	Mesyanzhinovviridae	NA	NA	p__Proteobacteria	No
AAB-S01R3_k55_1292854	98966	No terminal repeats	152	0.9835	8	34.3502	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	88.8	Medium-quality	virulent	c__Caudoviricetes	NA	Ackermannviridae	NA	NA	p__Actinobacteriota	No
AAB-S01R3_k55_4740902	44157	No terminal repeats	48	0.9833	4	17.3808	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	High-quality	temperate	c__Caudoviricetes	Podoviridae	NA	NA	NA	p__Cyanobacteria	No
AAB-S01R3_k55_8467505	81160	No terminal repeats	122	0.981	6	39.5991	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	56.17	Medium-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	2	p__Proteobacteria	No
AAB-S01R3_k55_4322574	21076	No terminal repeats	28	0.978	5	11.2571	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	59.79	Medium-quality	temperate	c__Caudoviricetes	NA	NA	NA	NA	p__Firmicutes	No
AAB-S01R3_k55_8393905	101034	No terminal repeats	181	0.9773	3	35.2187	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	58.39	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	3	p__Actinobacteriota	No
AAB-S01R3_k55_5648862	61370	No terminal repeats	114	0.975	1	17.2836	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	65.42	Medium-quality	temperate	c__Caudoviricetes	NA	Zierdtviridae	NA	NA	p__Planctomycetota	No
AAB-S01R3_k55_3343950	73920	No terminal repeats	182	0.9749	0	18.8212	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	64.42	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	1	p__Actinobacteriota	No
AAB-S01R3_k55_10108198	47304	No terminal repeats	84	0.9718	5	27.1558	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	78.69	Medium-quality	temperate	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Proteobacteria	No
AAB-S01R3_k55_197494	38756	No terminal repeats	58	0.9669	2	17.1439	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	84.08	Medium-quality	temperate	c__Caudoviricetes	NA	NA	NA	NA	p__Actinobacteriota	No
AAB-S01R3_k55_1574834	40640	No terminal repeats	64	0.9306	3	4.7306	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	High-quality	temperate	c__Caudoviricetes	NA	NA	NA	NA	p__Firmicutes	No
AAB-S01R3_k55_6834850	18742	DTR	35	0.8242	0	8.3105	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	56.83	Medium-quality	temperate	c__Caudoviricetes	NA	Peduoviridae	NA	NA	p__Proteobacteria	No
AAB-S01R4_k55_7605364	52345	DTR	80	0.996	9	52.9837	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Firmicutes	No
AAB-S01R4_k55_4303578	49992	No terminal repeats	77	0.9956	15	59.6468	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	95.84	High-quality	temperate	c__Caudoviricetes	Myoviridae	Chaseviridae	NA	NA	p__Proteobacteria	No
AAB-S01R4_k55_2514045	45237	No terminal repeats	56	0.9953	4	36.8802	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	75.41	Medium-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Proteobacteria	No
AAB-S01R4_k55_6594891	37572	No terminal repeats	62	0.9949	7	29.9049	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	73.1	Medium-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Firmicutes	No
AAB-S01R4_k55_3617371	50186	DTR	70	0.9943	7	40.027	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Proteobacteria	Yes
AAB-S01R4_k55_4942145	43504	No terminal repeats	58	0.9934	4	21.7678	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	High-quality	virulent	c__Caudoviricetes	NA	Zobellviridae	NA	NA	p__Proteobacteria	No
AAB-S01R4_k55_187693	12441	No terminal repeats	11	0.9934	3	12.028	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	63.62	Medium-quality	virulent	c__Caudoviricetes	Podoviridae	Salasmaviridae	NA	NA	p__Actinobacteriota	No
AAB-S01R4_k55_55368	40603	DTR	75	0.993	11	51.0023	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Proteobacteria	No
AAB-S01R4_k55_2695141	24357	No terminal repeats	39	0.9926	5	24.7905	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	51.15	Medium-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Proteobacteria	No
AAB-S01R4_k55_7998005	47933	No terminal repeats	79	0.9921	6	23.0072	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	73.2	Medium-quality	virulent	c__Caudoviricetes	NA	Zierdtviridae	NA	NA	p__Chloroflexota	No
AAB-S01R4_k55_1725125	75131	No terminal repeats	82	0.9918	11	35.7454	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	52.96	Medium-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	2	p__Proteobacteria	No
AAB-S01R4_k55_2100988	23428	No terminal repeats	35	0.9917	7	22.0554	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	58.34	Medium-quality	temperate	c__Caudoviricetes	NA	NA	NA	NA	p__Actinobacteriota	No
AAB-S01R4_k55_3771467	24935	No terminal repeats	42	0.9913	5	21.4714	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	57.28	Medium-quality	temperate	c__Caudoviricetes	Podoviridae	NA	NA	NA	p__Proteobacteria	No
AAB-S01R4_k55_7387886	28312	No terminal repeats	44	0.9907	8	23.9648	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	51.13	Medium-quality	virulent	c__Caudoviricetes	NA	Ackermannviridae	NA	1	p__Actinobacteriota	No
AAB-S01R4_k55_8169453	40271	DTR	64	0.9905	5	29.6388	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	NA	Salasmaviridae	NA	NA	p__Proteobacteria	No
AAB-S01R4_k55_4858961	29753	No terminal repeats	50	0.9904	5	21.2092	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	70.85	Medium-quality	virulent	c__Caudoviricetes	NA	Zobellviridae	NA	NA	p__Proteobacteria	No
AAB-S01R4_k55_7046999	37523	No terminal repeats	61	0.9903	8	20.3601	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	68.1	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA		No
AAB-S01R4_k55_3689445	58273	DTR	86	0.9899	9	20.5237	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	62.17	Medium-quality	virulent	c__Caudoviricetes	NA	Drexlerviridae	NA	NA	p__Bacteroidota	Yes
AAB-S01R4_k55_3133986	30960	No terminal repeats	43	0.9897	5	16.1176	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	75.42	Medium-quality	temperate	c__Caudoviricetes	NA	NA	NA	NA	p__Actinobacteriota	No
AAB-S01R4_k55_40423	54979	No terminal repeats	80	0.9894	6	19.463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	61.87	Medium-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Crenarchaeota	No
AAB-S01R4_k55_8169532	58240	DTR	85	0.9891	7	18.1346	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Proteobacteria	Yes
AAB-S01R4_k55_4404109	36287	No terminal repeats	52	0.9873	7	31.2834	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	91.46	High-quality	virulent	c__Caudoviricetes	NA	Mesyanzhinovviridae	NA	NA	p__Proteobacteria	No
AAB-S01R4_k55_3846939	33087	No terminal repeats	49	0.9871	7	31.7539	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	79.1	Medium-quality	temperate	c__Caudoviricetes	NA	Mesyanzhinovviridae	NA	NA	p__Actinobacteriota	No
AAB-S01R4_k55_5387665	23642	No terminal repeats	35	0.9869	0	9.9768	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	55.88	Medium-quality	temperate	c__Caudoviricetes	NA	NA	NA	NA	p__Proteobacteria	No
AAB-S01R4_k55_1319307	60912	No terminal repeats	102	0.985	8	21.052	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	77.3	Medium-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	1	p__Actinobacteriota	No
AAB-S01R4_k55_3434323	53831	DTR	90	0.9847	1	21.8888	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	65.59	Medium-quality	temperate	c__Caudoviricetes	NA	NA	NA	NA	p__Actinobacteriota	No
AAB-S01R4_k55_4134364	54425	DTR	94	0.9841	4	23.1124	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	69.2	Medium-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Proteobacteria	No
AAB-S01R4_k55_158178	36936	No terminal repeats	53	0.9803	4	26.7314	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	64.5	Medium-quality	virulent	c__Caudoviricetes	NA	Mesyanzhinovviridae	NA	NA	p__Firmicutes	No
AAB-S01R4_k55_7999008	44255	No terminal repeats	65	0.9788	3	17.3719	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	52.37	Medium-quality	virulent	c__Caudoviricetes	NA	Mesyanzhinovviridae	NA	NA	p__Proteobacteria	No
AAB-S01R4_k55_5889533	50748	No terminal repeats	98	0.9777	3	29.113	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	High-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	1	p__Bacteroidota	No
AAB-S01R4_k55_1050429	57023	No terminal repeats	92	0.9757	5	13.5168	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	67.09	Medium-quality	temperate	c__Caudoviricetes	NA	NA	NA	NA		No
AAB-S01R4_k55_6789728	27044	No terminal repeats	30	0.9743	4	10.0337	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	70.78	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA		No
AAB-S01R4_k55_6888627	33258	No terminal repeats	43	0.9732	3	12.5792	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	78.1	Medium-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Proteobacteria	No
AAB-S01R4_k55_2715635	28716	No terminal repeats	33	0.9724	0	9.98	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	60.12	Medium-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Firmicutes	No
AAB-S01R4_k55_47769	34099	No terminal repeats	52	0.9719	7	10.5879	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	51.09	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Proteobacteria	No
AAB-S01R4_k55_1443524	35631	No terminal repeats	28	0.9645	3	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	52.93	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Proteobacteria	No
AAB-S01R4_k55_7353380	56921	No terminal repeats	104	0.9496	8	21.0148	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	67.33	Medium-quality	temperate	c__Caudoviricetes	NA	Ackermannviridae	NA	NA	p__Bacteroidota	No
AAB-S01R4_k55_6047304	65369	DTR	97	0.9303	5	14.8353	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	60.01	Medium-quality	temperate	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Firmicutes	No
AAB-S01R5_k55_5310755	78737	No terminal repeats	72	0.9952	10	35.0669	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	55.25	Medium-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA		Yes
AAB-S01R5_k55_6507723	32834	No terminal repeats	55	0.995	6	21.7695	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	51.53	Medium-quality	virulent	c__Caudoviricetes	NA	Zierdtviridae	NA	NA		No
AAB-S01R5_k55_9126915	39767	No terminal repeats	62	0.9944	5	36.5157	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	54.81	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Proteobacteria	No
AAB-S01R5_k55_3162240	30062	No terminal repeats	37	0.9932	3	15.7673	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	73.09	Medium-quality	temperate	c__Caudoviricetes	NA	NA	NA	NA	p__Proteobacteria	No
AAB-S01R5_k55_8436528	33776	No terminal repeats	58	0.9931	3	21.339	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	57.84	Medium-quality	temperate	c__Caudoviricetes	NA	Chaseviridae	NA	1	p__Proteobacteria	No
AAB-S01R5_k55_5834355	45692	DTR	68	0.993	9	37.7668	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	NA	NA	NA	1	p__Cyanobacteria	No
AAB-S01R5_k55_1377928	69039	DTR	71	0.9924	3	26.7593	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	54.75	Medium-quality	temperate	c__Caudoviricetes	NA	NA	NA	1	p__Actinobacteriota	No
AAB-S01R5_k55_10028468	68896	DTR	96	0.9921	12	54.0643	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	NA	Mesyanzhinovviridae	NA	NA	p__Proteobacteria	No
AAB-S01R5_k55_7574414	62388	No terminal repeats	111	0.9917	4	36.4804	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	59.29	Medium-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	2	p__Firmicutes	Yes
AAB-S01R5_k55_10367634	42184	DTR	63	0.9904	9	24.4274	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	73.85	Medium-quality	temperate	c__Caudoviricetes	NA	Ackermannviridae	NA	NA	p__Proteobacteria	Yes
AAB-S01R5_k55_7790013	45124	No terminal repeats	64	0.9902	4	16.4975	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	51.5	Medium-quality	virulent	c__Caudoviricetes	NA	Zierdtviridae	NA	NA	p__Proteobacteria	No
AAB-S01R5_k55_9101302	23561	No terminal repeats	30	0.9901	6	15.172	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	58.56	Medium-quality	temperate	c__Caudoviricetes	NA	NA	NA	NA	p__Chloroflexota	No
