ARO Accession	CVTERM ID	Drug_Class	ARO Name	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism	CARD Short Name	length
ARO:3000566	36705	Tetracycline	tet(39)	AAW66497.1	AY743590.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tet(39)	1188
ARO:3000567	36706	Tetracycline	tet(40)	CAM12479.1	AM419751.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tet(40)	1221
ARO:3000569	36708	Tetracycline	tet(41)	AAP93922.1	AY264780.2	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tet(41)	1182
ARO:3000572	36711	Tetracycline	tet(42)	ACD35503.1	EU523697.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tet(42)	1287
ARO:3000573	36712	Tetracycline	tet(43)	ACS83748.1	GQ244501.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tet(43)	1560
ARO:3000582	36721	Beta-lactams	L1 beta-lactamase	CAB75346.1	AJ272109.1	L1 family beta-lactamase	cephalosporin	antibiotic inactivation	L1_BLA	888
ARO:3000592	36731	MLS	ErmN	CAA66307.2	X97721.2	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	ErmN	876
ARO:3000593	36732	MLS	ErmQ	AAC36915.1	L22689.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	ErmQ	774
ARO:3000594	36733	MLS	ErmR	AAU93796.1	AY623658.2	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	ErmR	1023
ARO:3000595	36734	MLS	ErmT	AAA98096.1	M64090.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	ErmT	735
ARO:3000596	36735	MLS	ErmX	AAA98484.1	M36726.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	ErmX	855
ARO:3000598	36737	MLS	Erm(31)	AAC69327.1	AF079138.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	Erm(31)	969
ARO:3000600	36739	MLS	Erm(34)	AAP74657.1	AY234334.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	Erm(34)	846
ARO:3000601	36740	MLS	Erm(38)	AAN86837.2	AY154657.2	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	Erm(38)	1161
ARO:3000602	36741	MLS	Erm(39)	AAR92235.1	AY487229.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	Erm(39)	741
ARO:3000603	36742	MLS	Erm(41)	ABW06859.1	EU177504.3	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	Erm(41)	417
ARO:3000604	36743	MLS	Erm(35)	AAK07612.2	AF319779.2	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	Erm(35)	801
ARO:3000605	36744	MLS	Erm(36)	AAL68827.1	AF462611.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	Erm(36)	846
ARO:3000606	36745	Beta-lactams	FEZ-1	CAB96921.1	Y17896.1	FEZ beta-lactamase	carbapenem;cephalosporin;penicillin beta-lactam	antibiotic inactivation	FEZ-1	849
ARO:3000614	36908	MLS	mef(E)	AAK99775.1	AE007317.1	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	mef(E)	1212
ARO:3000616	36910	MLS	mel	AAL73129.1	AF227521.1	msr-type ABC-F protein	macrolide antibiotic;streptogramin antibiotic	antibiotic target protection	mel	1218
ARO:3000617	36911	Beta-lactams	mecA	AGC51118.1	KC243783.1	methicillin resistant PBP2	carbapenem;cephalosporin;monobactam;penicillin beta-lactam	antibiotic target replacement	mecA	2007
ARO:3000620	36962	Multidrug	adeL	ALH22601.1	KR297239.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux	adeL	1014
ARO:3000621	36963	Beta-lactams	PC1 beta-lactamase (blaZ)	ABX30738.1	CP000732.1	BlaZ beta-lactamase	penicillin beta-lactam	antibiotic inactivation	PC1_blaZ	846
ARO:3000656	37000	Multidrug	AcrS	AAC76296.1	U00096.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penicillin beta-lactam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux	AcrS	663
ARO:3000746	37126	Multidrug	mepR	BAB56495.1	BA000017.4	multidrug and toxic compound extrusion (MATE) transporter	glycylcycline;tetracycline antibiotic	antibiotic efflux	mepR	420
ARO:3000753	37133	Multidrug	abeM	BAD89844.2	AB204810.2	multidrug and toxic compound extrusion (MATE) transporter	disinfecting agents and antiseptics;fluoroquinolone antibiotic	antibiotic efflux	abeM	1347
ARO:3000768	37148	Multidrug	abeS	ACJ59254.1	CP001172.1	small multidrug resistance (SMR) antibiotic efflux pump	aminocoumarin antibiotic;macrolide antibiotic	antibiotic efflux	abeS	330
ARO:3000774	37154	Multidrug	adeA	AAL14439.1	AF370885.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic efflux	adeA	1191
ARO:3000775	37155	Multidrug	adeB	AAL14440.1	AF370885.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic efflux	adeB	3108
ARO:3000777	37157	Multidrug	adeF	CAJ77856.1	CT025801.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux	adeF	3180
ARO:3000778	37158	Multidrug	adeG	CAJ77857.1	CT025800.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux	adeG	1221
ARO:3000779	37159	Multidrug	adeH	CAJ77855.1	CT025802.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux	adeH	1452
ARO:3000780	37160	Multidrug	adeI	ACJ41739.1	CP001182.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penicillin beta-lactam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux	adeI	1251
