ID	Completeness (%)	Contamination (%)	Genome_size	GC_content	Group	GTDB_classification	Min_contig_length	Max_contig_length	Mean_contig_length	Median_contig_length	N50	Num_contig	tRNA	5S_ribosomal_RNA	16S_ribosomal_RNA	23S_ribosomal_RNA	5S+16S+23S	NCBI_classification
AAB-S01R1_22	69.73	1.5	3559430	57.73	Partial	Bacteria;Acidobacteriota;Acidobacteriae;UBA7541;UBA7541;UBA7541	1007	34715	4640	3137	6691	767	4	0	0	0	0	Bacteria;Acidobacteria
AAB-S01R1_244	93.82	0.68	2393544	54.93	Near complete	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;UBA10450;AV40	1548	46502	10185	7097	15822	235	37	0	1	0	0	Bacteria;Verrucomicrobia
AAB-S01R1_261	85.24	4.35	4960548	62.52	Medium quality	Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae	1101	61136	8970	6508	12878	553	23	0	1	0	0	Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales
AAB-S01R1_30	72.34	1.74	5549437	64.13	Medium quality	Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae	1502	46603	4796	3724	5753	1157	34	0	0	0	0	Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Isosphaeraceae
AAB-S01R1_37	69.01	2.56	4599288	56.59	Partial	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Koribacteraceae;Sulfotelmatobacter	1001	19293	2326	1841	2624	1977	8	0	0	0	0	Bacteria;Acidobacteria
AAB-S01R1_38	77.77	3.38	2601804	54.94	Medium quality	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;UBA10450;AV55	1001	13478	2693	2194	3274	966	20	0	0	0	0	Bacteria;Verrucomicrobia
AAB-S01R1_39	94.27	4.49	6517242	48.64	Near complete	Bacteria;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Dictyobacter	2053	146726	13465	9351	19934	484	41	1	1	0	0	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Dictyobacteraceae;Dictyobacter
AAB-S01R1_47	58.52	0.85	2799288	67.77	Partial	Bacteria;Actinobacteriota;Acidimicrobiia;Acidimicrobiales;Palsa-688	2003	20939	4222	3433	4652	663	12	0	0	0	0	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
AAB-S01R1_48	70.51	3.96	5295718	52.46	Medium quality	Bacteria;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;CF-113	1002	15426	3669	3086	4229	1443	33	0	0	0	0	Bacteria;Chloroflexi
AAB-S01R1_53	88.55	4.16	3413969	69.11	Medium quality	Bacteria;Actinobacteriota;Acidimicrobiia;Acidimicrobiales;Palsa-688	1006	41832	5427	3726	7723	629	19	0	1	0	0	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
AAB-S01R1_59	81.71	5.13	10684370	57.1	Medium quality	Bacteria;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae	1000	37893	2410	1657	2915	4433	33	2	1	0	0	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales
AAB-S01R1_85	90.6	5.18	5004241	55	Medium quality	Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;QHXM01	2144	94894	16300	12603	22575	307	36	1	1	0	0	Bacteria;Acidobacteria
AAB-S01R1_86	85.32	6.14	5871731	53.28	Medium quality	Bacteria;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae	1001	14024	2562	2036	2891	2291	16	2	1	0	0	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Thermosporotrichaceae
AAB-S01R1_89	89.63	0.29	2656599	43.93	Medium quality	Bacteria;Proteobacteria;Gammaproteobacteria;UBA6002;UBA6002	2040	72149	7790	5100	10727	341	38	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae
AAB-S01R2_104	61.21	0.58	3495603	64.06	Partial	Bacteria;Chloroflexota;Chloroflexia;Thermomicrobiales	1001	9890	1810	1538	1870	1931	23	0	0	0	0	Bacteria;Chloroflexi;Thermomicrobia
AAB-S01R2_112	66.63	1.71	3227742	67.31	Partial	Bacteria;Actinobacteriota;Acidimicrobiia;Acidimicrobiales;Palsa-688	2003	21851	4355	3554	4884	741	15	0	0	0	0	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
AAB-S01R2_24	83.76	1.69	2418807	68.96	Medium quality	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Palsa-465	1001	22457	3004	2391	3723	805	30	0	1	0	0	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales
AAB-S01R2_29	93.35	1.34	3408405	70.33	Near complete	Bacteria;Actinobacteriota;Actinomycetia;Mycobacteriales;Pseudonocardiaceae;Pseudonocardia	1334	102442	12813	6884	24474	266	36	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia
AAB-S01R2_35	86.54	2.08	2432482	58.14	Medium quality	Bacteria;Eremiobacterota;Eremiobacteria;UBP12;UBA5184;QHBJ01	1005	36207	5617	4343	7049	433	37	0	0	0	0	Bacteria;candidate division WPS-2
AAB-S01R2_38	74.73	1.45	2758099	68.52	Medium quality	Bacteria;Actinobacteriota;Acidimicrobiia;Acidimicrobiales;Palsa-688	2001	66845	6826	3614	11478	404	19	0	1	0	0	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
AAB-S01R2_41	88.32	2.14	3338587	69.3	Medium quality	Bacteria;Actinobacteriota;Acidimicrobiia;Acidimicrobiales;AC-14	1005	47312	4909	2862	7584	680	40	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria
AAB-S01R2_59	87.96	3.42	4807919	68.78	Medium quality	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Palsa-465	2009	97115	17049	11057	26993	282	46	1	1	1	1	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales
AAB-S01R2_6	91.81	3.98	4483134	65.35	Near complete	Bacteria;Actinobacteriota;Actinomycetia;Mycobacteriales;Mycobacteriaceae;Mycobacterium	1001	21901	3432	2514	4587	1306	35	0	1	0	0	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium
AAB-S01R2_84	89.78	0.25	2846581	66.77	Medium quality	Bacteria;Actinobacteriota;Actinomycetia;Mycobacteriales;Pseudonocardiaceae;Amycolatopsis	2869	81457	14749	10540	20721	193	35	0	1	0	0	Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis
AAB-S01R2_85	90.54	1.65	2702439	70.36	Near complete	Bacteria;Dormibacterota;Dormibacteria;UBA8260;UBA8260;Palsa-875	1025	53855	7506	4850	12101	360	41	1	0	1	0	Bacteria;candidate division AD3
AAB-S01R2_93	77.23	2.78	2707839	67.97	Medium quality	Bacteria;Dormibacterota;Dormibacteria;UBA8260;UBA8260	1510	93900	6098	3108	11394	444	34	0	1	0	0	Bacteria;candidate division AD3
AAB-S01R3_102	56.21	0	1902055	66.62	Partial	Bacteria;Dormibacterota;Dormibacteria	1502	42823	5545	4079	6994	343	15	1	0	0	0	Bacteria;Chloroflexi
AAB-S01R3_115	58.54	1.41	1657055	59.37	Partial	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylocella;Methylocella sp006514895	1001	9651	1949	1641	2053	850	6	0	0	0	0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae
AAB-S01R3_117	64.24	0.38	1853894	64.03	Partial	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methyloligellaceae;Methyloceanibacter;Methyloceanibacter sp002383105	1005	18781	3069	2614	3551	604	16	0	0	0	0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae
AAB-S01R3_121	69.92	2.31	3017844	73.51	Partial	Bacteria;Dormibacterota;Dormibacteria;UBA8260;UBA8260	2021	35877	6209	5047	7495	486	25	0	0	0	0	Bacteria;Chloroflexi
AAB-S01R3_122	83.9	2.31	2219877	66	Medium quality	Bacteria;Dormibacterota;Dormibacteria;CF-121;CF-121	1001	12304	2463	1960	2821	901	15	0	0	0	0	Bacteria;Chloroflexi
AAB-S01R3_12	83.11	2.96	3323426	67.6	Medium quality	Bacteria;Dormibacterota;Dormibacteria;Dormibacterales;Dormibacteraceae;QHBS01	2001	19808	4327	3481	4667	768	22	1	1	0	0	Bacteria;candidate division AD3
AAB-S01R3_134	54.94	0.92	3827093	57.62	Partial	Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae	1001	7876	1818	1565	1869	2104	2	1	0	1	0	Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales
AAB-S01R3_135	78.36	2.55	3939382	65.45	Medium quality	Bacteria;Actinobacteriota;Actinomycetia;Mycobacteriales;Mycobacteriaceae;Mycobacterium	1001	17592	2811	2193	3435	1401	23	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium
AAB-S01R3_146	96.13	0	6648092	61.32	Near complete	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;PALSA-1355	2348	90754	16058	12268	22420	414	44	0	1	0	0	Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae
AAB-S01R3_148	71.59	2.23	3821834	54.84	Medium quality	Bacteria;Acidobacteriota;Acidobacteriae;UBA7541;UBA7541;UBA7541	1001	20620	3028	2058	3896	1262	11	0	0	0	0	Bacteria;Acidobacteria
AAB-S01R3_152	86.15	3.64	3314725	67.91	Medium quality	Bacteria;Acidobacteriota;Thermoanaerobaculia;UBA5066;Gp7-AA6;Gp7-AA6	1001	18929	3579	2747	4450	926	17	0	0	0	0	Bacteria;Acidobacteria
AAB-S01R3_154	71.71	2.31	1978869	70.62	Medium quality	Bacteria;Dormibacterota;Dormibacteria;UBA8260;UBA8260;Palsa-875	1004	30103	3025	2193	3645	654	14	0	0	0	0	Bacteria;candidate division AD3
AAB-S01R3_156	84.43	1.23	3161146	64.87	Medium quality	Bacteria;Dormibacterota;Dormibacteria;Dormibacterales;Dormibacteraceae;Palsa-872	2074	61663	9464	6855	12490	334	23	0	0	0	0	Bacteria;candidate division AD3
AAB-S01R3_160	68.79	2.17	4426253	58.36	Partial	Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Palsa-187	2006	24451	5430	4616	6164	815	18	0	0	0	0	Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales
AAB-S01R3_169	65.48	1.65	2122121	61.17	Partial	Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;UBA4720	2008	22596	4357	3519	4934	487	13	0	0	0	0	Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales
AAB-S01R3_172	60.97	1.28	3268801	72.73	Partial	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae	1006	27721	3731	2880	4596	876	18	0	1	0	0	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales
AAB-S01R3_177	96.17	7.21	5817480	61.59	Medium quality	Bacteria;Desulfobacterota_B;Binatia;Binatales;Binataceae	1500	71644	9631	5517	16839	604	44	1	1	1	1	Bacteria;Proteobacteria;Deltaproteobacteria
AAB-S01R3_17	82.13	4.37	2765286	39.13	Medium quality	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;UBA10452	1001	11861	2423	1917	2804	1141	19	1	0	0	0	Archaea;Thaumarchaeota
AAB-S01R3_18	90.37	1.24	4053798	70.13	Near complete	Bacteria;Dormibacterota;Dormibacteria;UBA8260;UBA8260	2003	50029	6645	4783	8875	610	33	0	1	0	0	Bacteria;Chloroflexi
AAB-S01R3_209	84.01	6.67	3827023	64.92	Medium quality	Bacteria;Dormibacterota;Dormibacteria	1001	44056	3533	2010	5602	1083	18	1	0	0	0	Bacteria;Chloroflexi
AAB-S01R3_225	72.45	2.83	3810342	56.8	Medium quality	Bacteria;Acidobacteriota;Acidobacteriae;UBA7541;UBA7541;UBA7541	1005	38858	5755	4195	7432	662	11	0	0	0	0	Bacteria;Acidobacteria
AAB-S01R3_226	90.36	7.41	3876466	67.26	Medium quality	Bacteria;Actinobacteriota;Acidimicrobiia;Acidimicrobiales;Palsa-688	1500	63980	6038	3949	8411	642	23	0	1	0	0	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
AAB-S01R3_240	94.7	3.12	6394153	59.44	Near complete	Bacteria;Chloroflexota;Chloroflexia;54-19	2007	168547	18269	10688	32377	350	79	0	3	0	0	Bacteria;Chloroflexi
AAB-S01R3_24	85.16	1.3	3496261	68.55	Medium quality	Bacteria;Actinobacteriota;Actinomycetia;Propionibacteriales;Nocardioidaceae;Marmoricola	2023	73262	9684	7112	13643	361	43	1	0	0	0	Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Marmoricola
AAB-S01R3_25	86.77	1.71	3946560	59.58	Medium quality	Bacteria;Acidobacteriota;Acidobacteriae;UBA7541;UBA7541;Palsa-189	1511	48716	8487	6258	11484	465	26	1	0	2	0	Bacteria;Acidobacteria
AAB-S01R3_269	68.03	0.85	1235903	49.21	Partial	Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;UBA4665;UBA6224	2199	106395	17407	12274	24112	71	44	0	1	1	0	Bacteria;Candidatus Saccharibacteria
AAB-S01R3_282	83.45	2.61	5266588	56.55	Medium quality	Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;UBA11740	1610	120559	13469	8995	20971	391	19	1	0	0	0	Bacteria;Acidobacteria;Blastocatellia
AAB-S01R3_2	78.7	2.74	3412027	70.33	Medium quality	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Palsa-465	1505	68051	8261	5795	12067	413	27	1	0	0	0	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales
AAB-S01R3_31	96.04	0.99	2837483	68.79	Near complete	Bacteria;Chloroflexota;Ellin6529;P2-11E;P2-11E;UBA4735	1502	250346	17301	4981	59811	164	41	1	1	5	1	Bacteria;Chloroflexi
AAB-S01R3_32	89.39	6.98	6693745	55.27	Medium quality	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Gp1-AA117;Gp1-AA17	1003	79205	6030	2509	13197	1110	13	0	0	0	0	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae
AAB-S01R3_38	66.37	1.57	2216258	69.21	Partial	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Palsa-465	1004	22184	2794	2039	3459	793	26	0	0	0	0	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales
AAB-S01R3_47	94.4	5.41	3291910	57.44	Medium quality	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;UBA10450;AV80	1521	54838	10864	7592	14910	303	35	1	1	0	0	Bacteria;Verrucomicrobia;Spartobacteria
AAB-S01R3_48	78.11	1.28	3890294	58.64	Medium quality	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Koribacteraceae	1166	66308	8104	5199	11537	480	14	0	0	0	0	Bacteria;Acidobacteria
AAB-S01R3_51	83.83	3.87	3815131	64.04	Medium quality	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Lichenihabitans	1001	19312	3006	2252	3732	1269	20	0	0	0	0	Bacteria
AAB-S01R3_52	77.09	1.71	4605597	55.03	Medium quality	Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;UBA11740	2096	59536	12216	9270	15671	377	8	0	0	0	0	Bacteria;Acidobacteria;Blastocatellia
AAB-S01R3_53	77.87	1.71	4113898	56.53	Medium quality	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Koribacteraceae	1001	31713	3656	2611	4941	1125	9	0	0	0	0	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales
AAB-S01R3_60	88.04	1.23	3411556	42.47	Medium quality	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;UBA8621	1501	59681	6282	4137	8582	543	20	0	1	0	0	Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae
AAB-S01R3_64	96.07	6.15	4239407	65.05	Medium quality	Bacteria;Actinobacteriota;Actinomycetia;Propionibacteriales;Nocardioidaceae;Marmoricola	1503	132942	7836	2839	19068	541	44	1	0	0	0	Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Marmoricola
AAB-S01R3_69	65.64	0	4335253	56.95	Partial	Bacteria;Acidobacteriota;Acidobacteriae;UBA7541;UBA7541	2002	35438	6292	5167	7348	689	24	1	1	0	0	Bacteria;Acidobacteria
AAB-S01R3_6	70.22	0.43	3504952	55.6	Medium quality	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Gp1-AA117;Gp1-AA17	1002	22903	3143	2622	3730	1115	2	0	0	0	0	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae
AAB-S01R3_70	87.9	3.48	7467023	60.59	Medium quality	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae	2013	59282	12764	9673	16539	585	37	0	1	0	0	Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae
AAB-S01R3_7	96.7	0.99	4288376	60.98	Near complete	Bacteria;Chloroflexota;UBA5177;UBA5177;UBA5177	1511	138549	16950	6891	40115	253	33	1	0	1	0	Bacteria;Chloroflexi
AAB-S01R3_80	93.49	7.32	5535828	62.7	Medium quality	Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;UBA2999	1503	80679	7189	4444	10561	770	21	0	2	0	0	Bacteria;Acidobacteria
AAB-S01R3_82	65.88	1.23	4224747	62.7	Partial	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae	1011	16466	3919	3340	4459	1078	30	0	1	0	0	Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae
AAB-S01R3_87	76.75	4.46	2208495	68.35	Medium quality	Archaea;Thermoplasmatota;SW-10-69-26	1002	9368	2416	1977	2721	914	24	1	0	0	0	Archaea;Euryarchaeota;Thermoplasmata
AAB-S01R3_91	80.42	3.1	4443929	65.54	Medium quality	Bacteria;Actinobacteriota;Actinomycetia;Mycobacteriales;Mycobacteriaceae;Mycobacterium	1011	30629	4548	3364	5838	977	16	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycolicibacterium
AAB-S01R3_92	88.6	1.45	5308811	67.26	Medium quality	Bacteria;Actinobacteriota;Acidimicrobiia;Acidimicrobiales	2169	90116	16853	12206	25880	315	32	1	1	1	1	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales
AAB-S01R3_94	88.11	4.06	2075419	63.73	Medium quality	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas_A	1002	21047	3347	2562	4168	620	34	0	1	0	0	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
AAB-S01R3_97	85.49	2.84	6395050	61.19	Medium quality	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;UBA4732	1505	70559	9214	6976	12639	694	38	0	2	0	0	Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae
AAB-S01R3_99	86.49	1.51	7515557	63.93	Medium quality	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Zavarzinella	1500	35831	5857	4421	7583	1283	39	1	2	1	1	Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Gemmataceae;Zavarzinella
AAB-S01R4_106	83.58	6.48	2217211	66.09	Medium quality	Bacteria;Dormibacterota;Dormibacteria;CF-121;CF-121	1002	15082	2244	1770	2440	988	24	0	1	0	0	Bacteria;Chloroflexi
AAB-S01R4_121	83.99	0.66	4985584	60.42	Medium quality	Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bog-113	1006	22859	4093	3140	5276	1218	19	0	1	0	0	Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales
AAB-S01R4_12	92.46	6.05	7523101	52.53	Medium quality	Bacteria;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;CF-113	2055	60304	9439	6965	12568	797	61	0	1	0	0	Bacteria;Chloroflexi
AAB-S01R4_131	98.24	2.23	5641448	51.79	Near complete	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;UBA8621	1515	201540	18557	8687	37212	304	23	0	1	0	0	Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae
AAB-S01R4_136	96.4	2.04	3134835	66.63	Near complete	Bacteria;Dormibacterota;Dormibacteria;CF-121	1505	127948	18884	9296	44337	166	43	1	1	1	1	Bacteria;Chloroflexi
